Name,Function,Method,Tolerance,rmin,rmax,N,p,Max_Error,Status
a1,A,bisection,1E-3,1,2,10,1.8291016,0.0009765625,0
a1,A,bisection,1E-5,1,2,17,1.8293839,7.6293945e-06,0
a1,A,bisection,1E-8,1,2,27,1.8293836,7.4505806e-09,0
a1,A,newton,1E-3,1,2,3,1.8293842,0.00083528934,0
a1,A,newton,1E-5,1,2,4,1.8293836,5.852789e-07,0
a1,A,newton,1E-8,1,2,5,1.8293836,2.8710367e-13,0
a1,A,secant,1E-3,1,2,6,1.8293835,5.2301053e-05,0
a1,A,secant,1E-5,1,2,7,1.8293836,1.2795526e-07,0
a1,A,secant,1E-8,1,2,8,1.8293836,5.6239458e-12,0
b1,B,bisection,1E-3,1.3,2,10,1.3977539,0.00068359375,0
b1,B,bisection,1E-5,1.3,2,17,1.3977486,5.3405762e-06,0
b1,B,bisection,1E-8,1.3,2,27,1.3977485,5.2154064e-09,0
b1,B,newton,1E-3,1.3,2,3,1.3977482,0.00042743153,0
b1,B,newton,1E-5,1.3,2,4,1.3977485,3.1148496e-07,0
b1,B,newton,1E-8,1.3,2,5,1.3977485,1.6520119e-13,0
b1,B,secant,1E-3,1.3,2,7,1.397769,0.00093573649,0
b1,B,secant,1E-5,1.3,2,9,1.3977485,3.1979828e-08,0
b1,B,secant,1E-8,1.3,2,10,1.3977485,1.1177725e-12,0
c1,C,bisection,1E-3,2,3,10,2.3701172,0.0009765625,0
c1,C,bisection,1E-5,2,3,17,2.3706894,7.6293945e-06,0
c1,C,bisection,1E-8,2,3,27,2.3706869,7.4505806e-09,0
c1,C,newton,1E-3,2,3,3,2.3706871,0.00067145569,0
c1,C,newton,1E-5,2,3,4,2.3706869,1.3916434e-07,0
c1,C,newton,1E-8,2,3,5,2.3706869,5.7731597e-15,0
c1,C,secant,1E-3,2,3,5,2.3706869,1.2792247e-05,0
c1,C,secant,1E-5,2,3,6,2.3706869,9.6954111e-09,0
c1,C,secant,1E-8,2,3,6,2.3706869,9.6954111e-09,0
c2,C,bisection,1E-3,3,4,10,3.7216797,0.0009765625,0
c2,C,bisection,1E-5,3,4,17,3.7221146,7.6293945e-06,0
c2,C,bisection,1E-8,3,4,27,3.7221128,7.4505806e-09,0
c2,C,newton,1E-3,3,4,4,3.7221128,2.7241668e-06,0
c2,C,newton,1E-5,3,4,4,3.7221128,2.7241668e-06,0
