Function,h,t,true,euler,error1,rungekutta,error2,trapezoidal,error3
a,0.1,0,2.7182818,2.7182818,4.4408921e-16,2.7182818,4.4408921e-16,2.7182818,4.4408921e-16
a,0.1,0.1,1.1051709,0.27182818,0.83334274,1.1167721,0.011601193,1.0310724,0.0740985
a,0.1,0.2,0.44932896,0.027182818,0.42214615,0.45881186,0.0094828979,0.39109643,0.05823253
a,0.1,0.3,0.18268352,0.0027182818,0.17996524,0.18849712,0.0058135943,0.14834692,0.034336601
a,0.1,0.4,0.074273578,0.00027182818,0.07400175,0.077441685,0.0031681067,0.056269523,0.018004056
a,0.1,0.5,0.030197383,2.7182818e-05,0.030170201,0.031815948,0.0016185648,0.021343612,0.0088537714
a,0.1,0.6,0.01227734,2.7182818e-06,0.012274622,0.013071185,0.00079384472,0.0080958528,0.0041814871
a,0.1,0.7,0.0049915939,2.7182818e-07,0.0049913221,0.0053701328,0.0003785389,0.0030708407,0.0019207532
a,0.1,0.8,0.0020294306,2.7182818e-08,0.0020294035,0.0022062519,0.0001768213,0.0011648017,0.00086462898
a,0.1,0.9,0.00082510492,2.7182818e-09,0.0008251022,0.00090641103,8.1306108e-05,0.00044182132,0.0003832836
a,0.1,1,0.00033546263,2.7182818e-10,0.00033546236,0.00037238764,3.6925014e-05,0.0001675874,0.00016787523
b,0.1,0,0.33333333,0.33333333,0,0.33333333,0,0.33333333,0
b,0.1,0.1,0.055111761,-0.33333333,0.38844509,0.12277778,0.067666017,0.01,0.045111761
b,0.1,0.2,0.046105213,0.37333333,0.32722812,0.079259259,0.033154046,0.04,0.006105213
b,0.1,0.3,0.090826251,-0.25333333,0.34415958,0.10475309,0.013926836,0.09,0.00082625073
b,0.1,0.4,0.16011182,0.49333333,0.33322151,0.16658436,0.0064725413,0.16,0.00011182088
b,0.1,0.5,0.25001513,-0.093333333,0.34334847,0.25386145,0.0038463207,0.25,1.513331e-05
b,0.1,0.6,0.36000205,0.69333333,0.33333129,0.36295382,0.0029517699,0.36,2.0480708e-06
b,0.1,0.7,0.49000028,0.14666667,0.34333361,0.49265127,0.0026509955,0.49,2.7717624e-07
b,0.1,0.8,0.64000004,0.97333333,0.3333333,0.64255042,0.0025503867,0.64,3.7511725e-08
b,0.1,0.9,0.81000001,0.46666667,0.34333334,0.81251681,0.002516803,0.81,5.0766599e-09
b,0.1,1,1,1.3333333,0.33333333,1.0025056,0.002505602,1,6.870513e-10
